id,label
3000,0.35174546391478406
3001,0.5
3002,0.5
3003,0.5
3004,0.27354620981672334
3005,0.27354620981672334
3006,0.27354620981672334
3007,0.5
3008,0.5
3009,0.5
3010,0.5
3011,0.5
3012,0.5
3013,0.5
3014,0.5
3015,0.27354620981672334
3016,0.5
3017,0.5
3018,0.5
3019,0.5
3020,0.5
3021,0.5
3022,0.5
3023,0.2729160817174079
3024,0.5
3025,0.2679036859871151
3026,0.5
3027,0.5
3028,0.5
3029,0.27354620981672334
3030,0.5
3031,0.5
3032,0.5
3033,0.5
3034,0.5
3035,0.5
3036,0.3835204075735517
3037,0.27227427077247224
3038,0.2682690624323699
3039,0.5
3040,0.27354620981672334
3041,0.27354620981672334
3042,0.5
3043,0.37914164369453884
3044,0.5
3045,0.5
3046,0.5
3047,0.2664715261221994
3048,0.2664715261221994
3049,0.3814233478238235
3050,0.5
3051,0.5
3052,0.5
3053,0.5
3054,0.5
3055,0.5
3056,0.5
3057,0.5
3058,0.2658979537974184
3059,0.5
3060,0.5
3061,0.5
3062,0.5
3063,0.2760512709688292
3064,0.5
3065,0.5
3066,0.5
3067,0.5
3068,0.27354620981672334
3069,0.5
3070,0.5
3071,0.2729160817174079
3072,0.2766017777351919
3073,0.5
3074,0.5
3075,0.5
3076,0.5
3077,0.27354620981672334
3078,0.27354620981672334
3079,0.5
3080,0.5
3081,0.5
3082,0.5
3083,0.5
3084,0.5
3085,0.5
3086,0.5
3087,0.5
3088,0.5
3089,0.27354620981672334
3090,0.5
3091,0.5
3092,0.27354620981672334
3093,0.5
3094,0.27354620981672334
3095,0.5
3096,0.5
3097,0.27354620981672334
3098,0.27354620981672334
3099,0.272662260387311
3100,0.27354620981672334
3101,0.5
3102,0.5
3103,0.5
3104,0.5
3105,0.5
3106,0.5
3107,0.5
3108,0.5
3109,0.5
3110,0.27354620981672334
3111,0.5
3112,0.5
3113,0.5
3114,0.5
3115,0.5
3116,0.5
3117,0.5
3118,0.5
3119,0.5
3120,0.2664715261221994
3121,0.5
3122,0.5
3123,0.5
3124,0.27354620981672334
3125,0.27354620981672334
3126,0.5
3127,0.5
3128,0.27354620981672334
3129,0.27354620981672334
3130,0.5
3131,0.5
3132,0.5
3133,0.5
3134,0.27354620981672334
3135,0.5
3136,0.27354620981672334
3137,0.27093446217937667
3138,0.3806749379053298
3139,0.3805871797088227
3140,0.5
3141,0.5
3142,0.5
3143,0.5
3144,0.5
3145,0.5
3146,0.2727523789274075
3147,0.5
3148,0.5
3149,0.5
3150,0.5
3151,0.5
3152,0.5
3153,0.3805871797088227
3154,0.5
3155,0.27354620981672334
3156,0.5
3157,0.5
3158,0.5
3159,0.5
3160,0.5
3161,0.5
3162,0.3872645764615249
3163,0.5
3164,0.5
3165,0.5
3166,0.5
3167,0.5
